date,open,high,low,close,volume,interval,rsi,macd,macd_signal,macd_hist,stochrsi_K,stochrsi_D,signal
2025-03-07 23:40:00,147.978,148.022,147.969,148.007,2820.0,1m,66.93042532467757,0.050012773333634186,0.041144382881192224,0.008868390452441963,78.43715847604753,82.34195631111184,Hold
2025-03-07 23:41:00,148.005,148.023,147.961,147.964,2898.0,1m,61.0959173099082,0.048941461389489405,0.042703798582851664,0.006237662806637741,56.6656868316429,74.00388731067163,Close Trade
2025-03-07 23:42:00,147.962,147.966,147.889,147.907,3090.0,1m,54.334366065945815,0.04299736842597213,0.042762512551475756,0.00023485587449637024,36.42353687398512,57.17546072722518,Hold
2025-03-07 23:43:00,147.909,147.948,147.868,147.874,2970.0,1m,50.82721679446175,0.03521783840125181,0.04125357772143097,-0.006035739320179159,11.561861688928703,34.88369513151891,Hold
2025-03-07 23:44:00,147.874,147.887,147.837,147.863,3061.0,1m,49.67617466285624,0.02784392925480006,0.03857164802810479,-0.01072771877330473,0.0,15.995132854304607,Hold
2025-03-07 23:45:00,147.863,147.893,147.862,147.887,2658.0,1m,52.21864887912264,0.02366387018844307,0.035590092460172446,-0.011926222271729375,4.0413137729331305,5.201058487287278,Open Trade
2025-03-07 23:46:00,147.885,147.919,147.88,147.896,2687.0,1m,53.174049380616005,0.020837170120046267,0.03263950799214721,-0.011802337872100943,9.601255809881582,4.547523194271571,Hold
2025-03-07 23:47:00,147.896,147.94,147.881,147.94,2301.0,1m,57.63408641710785,0.021895029951139122,0.030490612383945594,-0.008595582432806472,22.25051619194783,11.96436192492085,Hold
2025-03-07 23:48:00,147.934,147.998,147.929,147.982,2987.0,1m,61.412264723820236,0.02582474885068109,0.029557439677292695,-0.003732690826611606,36.86395301601655,22.905241672615322,Hold
2025-03-07 23:49:00,147.984,147.985,147.936,147.961,2135.0,1m,58.59838080503631,0.0269340756369445,0.02903276686922306,-0.0020986912322785607,45.4860366360641,34.86683528134283,Hold
2025-03-07 23:50:00,147.961,147.985,147.94,147.972,2392.0,1m,59.64152392264609,0.02837375815451537,0.028900965126281524,-0.0005272069717661525,48.67689882358614,43.675629491888934,Hold
2025-03-07 23:51:00,147.972,147.995,147.948,147.985,1965.0,1m,60.895498340971145,0.03021540390869859,0.029163852882764938,0.0010515510259336523,47.855488290871406,47.33947458350722,Hold
2025-03-07 23:52:00,147.983,148.002,147.927,147.939,2170.0,1m,54.448746320321874,0.027644438002084826,0.028859969906628917,-0.0012155319045440913,42.89355135482646,46.47531282309467,Close Trade
2025-03-07 23:53:00,147.942,147.974,147.914,147.95,2494.0,1m,55.6576562841426,0.02619260502106613,0.028326496929516363,-0.002133891908450234,38.60899990897996,43.11934651822594,Hold
2025-03-07 23:54:00,147.956,147.962,147.916,147.917,2340.0,1m,51.262266775213654,0.022124159181004188,0.02708602937981393,-0.004961870198809743,25.28054493026603,35.594365398024145,Hold
2025-03-07 23:55:00,147.917,147.947,147.896,147.917,2333.0,1m,51.262266775213654,0.018684503218793225,0.02540572414760979,-0.006721220928816565,20.565341294888164,28.151628711378052,Hold
2025-03-07 23:56:00,147.915,147.973,147.895,147.961,2629.0,1m,56.56631249044996,0.01928665876724267,0.024181911071536367,-0.004895252304293697,28.579427503933204,24.808437909695797,Open Trade
2025-03-07 23:57:00,147.961,147.972,147.939,147.95,2728.0,1m,54.95610238405273,0.01866114919673123,0.02307775869657534,-0.004416609499844109,39.07081373123482,29.405194176685395,Hold
2025-03-07 23:58:00,147.95,147.969,147.939,147.961,2139.0,1m,56.29587708304443,0.018835907804543695,0.02222938851816901,-0.003393480713625316,51.096671913847224,39.58230438300509,Hold
2025-03-07 23:59:00,147.961,147.983,147.959,147.974,1946.0,1m,57.88998088828303,0.019795209758740384,0.021742552766283285,-0.001947343007542901,53.29291097705998,47.820132207380674,Hold
2025-03-08 00:00:00,147.972,148.027,147.961,148.001,2726.0,1m,61.06630564741111,0.022475059326751534,0.021889054078376935,0.0005860052483745992,70.49381816556402,58.294467018823745,Hold
2025-03-08 00:01:00,148.001,148.004,147.945,147.991,2611.0,1m,59.28274179498732,0.023520809736680803,0.02221540521003771,0.0013054045266430933,80.30289966182492,68.02987626814964,Hold
2025-03-08 00:02:00,147.991,148.029,147.967,148.027,2217.0,1m,63.42432635210132,0.02694388131442338,0.023161100430914846,0.003782780883508533,91.87033659915868,80.88901814218254,Hold
2025-03-08 00:03:00,148.027,148.031,147.928,147.934,3294.0,1m,49.43522911277298,0.021899918803399032,0.022908864105411684,-0.0010089453020126517,59.67315809777983,77.28213145292115,Close Trade
2025-03-08 00:04:00,147.934,147.986,147.934,147.972,2526.0,1m,53.908638965053726,0.02072986363029372,0.022473064010388094,-0.001743200380094373,43.99261028249056,65.17870165980969,Hold
2025-03-08 00:05:00,147.972,147.989,147.953,147.972,2424.0,1m,53.908638965053726,0.019576915974681697,0.021893834403246815,-0.0023169184285651186,21.318553898314452,41.66144075952828,Hold
2025-03-08 00:06:00,147.972,147.976,147.928,147.955,2777.0,1m,51.542757473804045,0.017094385293205505,0.020933944581238553,-0.003839559288033048,26.340389415348515,30.550517865384506,Hold
2025-03-08 00:07:00,147.955,147.964,147.9,147.908,3145.0,1m,45.58612364685931,0.011205287063631886,0.018988213077717222,-0.007782926014085336,15.681112466191285,21.113351926618083,Hold
2025-03-08 00:08:00,147.91,147.943,147.907,147.917,3300.0,1m,46.85273537922318,0.007181574353154474,0.016626885332804674,-0.0094453109796502,7.388687815802288,16.470063232447362,Hold
2025-03-08 00:09:00,147.917,147.926,147.856,147.861,2860.0,1m,40.5308105064433,-0.0005199848855852451,0.01319751128912669,-0.013717496174711935,2.3668522987682286,8.478884193587268,Hold
