date,open,high,low,close,volume,interval,rsi,macd,macd_signal,macd_hist,stochrsi_K,stochrsi_D,signal
2025-03-07 23:40:00,1.2899,1.2903,1.2898,1.2903,1704.0,1m,56.899230934386736,-2.4533604268128784e-05,-6.310606645404198e-05,3.8572462185913195e-05,100.0,84.84264949282384,Hold
2025-03-07 23:41:00,1.2903,1.2904,1.2898,1.2904,1867.0,1m,59.88935779080498,5.04177032456532e-06,-4.947649909832052e-05,5.451826942288584e-05,100.0,94.94754983094128,Hold
2025-03-07 23:42:00,1.2904,1.2906,1.2901,1.2905,1776.0,1m,62.67776932370558,3.6133112010228174e-05,-3.235457687661078e-05,6.848768888683895e-05,100.0,100.0,Hold
2025-03-07 23:43:00,1.2905,1.2907,1.2902,1.2906,1341.0,1m,65.27730267018613,6.80578599179249e-05,-1.2272089517703643e-05,8.032994943562854e-05,100.0,100.0,Hold
2025-03-07 23:44:00,1.2906,1.2908,1.2904,1.2908,1253.0,1m,69.80681464606563,0.00010824895460426198,1.1832119306689482e-05,9.64168352975725e-05,100.0,100.0,Hold
2025-03-07 23:45:00,1.2908,1.2909,1.2905,1.2907,1193.0,1m,65.22530343698779,0.00013052688970494053,3.557107338633969e-05,9.495581631860084e-05,95.80762737630863,98.60254245876955,Close Trade
2025-03-07 23:46:00,1.2907,1.2908,1.2904,1.2907,983.0,1m,65.22530343698779,0.0001464936264397032,5.77555839970124e-05,8.87380424426908e-05,91.61525475261726,95.80762737630863,Hold
2025-03-07 23:47:00,1.2907,1.2909,1.2903,1.2906,1337.0,1m,60.61173453061979,0.00014935652699876734,7.60757725973634e-05,7.328075440140394e-05,83.20117468395729,90.20801893762773,Hold
2025-03-07 23:48:00,1.2906,1.2906,1.29,1.2905,1426.0,1m,56.32151133318068,0.00014192026359638454,8.924467079716762e-05,5.267559279921692e-05,71.25441526512745,82.02361490056734,Hold
2025-03-07 23:49:00,1.2905,1.2907,1.2902,1.2905,1422.0,1m,56.32151133318068,0.0001344768063595847,9.829109790965105e-05,3.618570844993365e-05,59.30765584629759,71.25441526512743,Hold
2025-03-07 23:50:00,1.2905,1.2906,1.2901,1.2904,1394.0,1m,52.048802639666775,0.00011913533067442472,0.0001024599444626058,1.6675386211818926e-05,46.46905112661402,59.010374079346356,Hold
2025-03-07 23:51:00,1.2904,1.2906,1.2901,1.2904,1142.0,1m,52.048802639666775,0.00010575798840650741,0.00010311955325138612,2.6384351551212847e-06,37.45540004751099,47.7440356734742,Hold
2025-03-07 23:52:00,1.2904,1.2907,1.2902,1.2906,1449.0,1m,59.22398757915314,0.0001100263614053354,0.00010450091488217599,5.525446523159402e-06,33.7296450687089,39.21803208094463,Hold
2025-03-07 23:53:00,1.2906,1.2908,1.2902,1.2908,1195.0,1m,64.88294486784228,0.00012807108257084643,0.00010921494841991007,1.8856134150936355e-05,45.73979794817076,38.974947688130214,Open Trade
2025-03-07 23:54:00,1.2908,1.2909,1.2904,1.2908,1053.0,1m,64.88294486784228,0.0001407491851070919,0.00011552179575734644,2.5227389349745445e-05,61.65004916091337,47.03983072593101,Hold
2025-03-07 23:55:00,1.2908,1.291,1.2904,1.2909,1651.0,1m,67.49855886401261,0.00015705540008426055,0.00012382851662272928,3.322688346153128e-05,77.18213928053156,61.52399546320523,Hold
2025-03-07 23:56:00,1.2906,1.291,1.2906,1.291,1270.0,1m,69.9119838265826,0.00017601832748748159,0.00013426647879567974,4.175184869180184e-05,86.42467118941322,75.0856198769527,Hold
2025-03-07 23:57:00,1.291,1.2912,1.2906,1.2911,1561.0,1m,72.13989852825875,0.00019684662300267775,0.00014678250763707935,5.0064115365598395e-05,95.66720309829488,86.42467118941322,Hold
2025-03-07 23:58:00,1.2911,1.2913,1.2907,1.2911,1991.0,1m,72.13989852825875,0.00021092182179094365,0.00015961037046785222,5.131145132309143e-05,100.0,94.03062476256936,Hold
2025-03-07 23:59:00,1.2911,1.2912,1.2907,1.2911,1649.0,1m,72.13989852825875,0.00021954573170446245,0.00017159744271517428,4.794828898928817e-05,100.0,98.55573436609829,Hold
2025-03-08 00:00:00,1.2911,1.2912,1.2907,1.2911,1780.0,1m,72.13989852825875,0.0002238004106200897,0.00018203803629615739,4.176237432393232e-05,100.0,100.0,Hold
2025-03-08 00:01:00,1.2911,1.2913,1.2908,1.2913,1675.0,1m,76.76762199945077,0.0002405378324412677,0.00019373799552517947,4.679983691608823e-05,100.0,100.0,Hold
2025-03-08 00:02:00,1.2913,1.2913,1.2906,1.2909,1576.0,1m,56.53964461546809,0.00021900119332740609,0.0001987906350856248,2.0210558241781277e-05,72.72256805693512,90.90752268564505,Close Trade
2025-03-08 00:03:00,1.2909,1.291,1.2904,1.2908,1850.0,1m,52.79434577536907,0.00019165481005223306,0.00019736347007894646,-5.708660026713399e-06,40.3945998057697,71.03905595423494,Hold
2025-03-08 00:04:00,1.2908,1.2909,1.2904,1.2908,1602.0,1m,52.79434577536907,0.00016804548059123903,0.00019149987218140498,-2.3454391590165956e-05,8.066631554604276,40.394599805769694,Hold
2025-03-08 00:05:00,1.2908,1.2909,1.2904,1.2907,1500.0,1m,49.027784500588275,0.00013965588650544092,0.0001811310750462122,-4.1475188540771285e-05,2.010730164335828,16.82398717490327,Hold
2025-03-08 00:06:00,1.2907,1.2907,1.2903,1.2906,1441.0,1m,45.529649133337635,0.00010784459898505183,0.00016647377983398012,-5.862918084892829e-05,1.005365082167914,3.694242267036006,Hold
2025-03-08 00:07:00,1.2906,1.2908,1.2903,1.2907,1370.0,1m,49.416417093113225,8.966943526989013e-05,0.00015111291092116214,-6.1443475651272e-05,4.147482058064813,2.3878591015228516,Open Trade
2025-03-08 00:08:00,1.2907,1.2908,1.2903,1.2907,1288.0,1m,49.416417093113225,7.440776073219801e-05,0.0001357718808833693,-6.13641201511713e-05,8.294964116129625,4.482603752120784,Hold
2025-03-08 00:09:00,1.2907,1.2909,1.2904,1.2909,1460.0,1m,56.59966543207074,7.755707258172428e-05,0.0001241289192230403,-4.657184664131603e-05,20.107527782557366,10.849991318917267,Hold
2025-03-08 00:10:00,1.2909,1.2911,1.2906,1.291,1627.0,1m,59.68256169348575,8.71178488444091e-05,0.00011672670514731407,-2.9608856302904972e-05,31.062298166638218,19.821596688441733,Hold
2025-03-08 00:11:00,1.291,1.291,1.2905,1.2908,1445.0,1m,51.763018901094306,7.76612735648996e-05,0.00010891361883083117,-3.125234526593157e-05,33.56630380750645,28.245376585567346,Hold
2025-03-08 00:12:00,1.2908,1.2909,1.2904,1.2908,1363.0,1m,51.763018901094306,6.93672470801765e-05,0.00010100434448070026,-3.163709740052376e-05,28.40522784001176,31.011276604718812,Hold
